city,long_min,lat_min,long_max,lat_max,Cells
Sao Paulo,-46.920685,-23.877581,-46.288971,-23.365201,129.47104772800054
Mexico City,-99.332611,19.25325,-98.909637,19.644534,66.20118344639924
Buenos Aires,-58.840027,-34.89959,-58.117676,-34.401111,144.03072165160017
Lagos,3.113937,6.399015,3.530731,6.754599,59.28211107839989
Kinshasa,15.186127,-4.516711,15.568863,-4.295937,33.799263065599895
Cairo,31.21463,29.959979,31.597641,30.19321,35.732015416399975
New Delhi,76.983948,28.415565,77.437134,28.763041,62.988503414400384
Singapore,103.614807,1.251366,104.018555,1.454669,32.8332718576006
Jakarta,106.502014,-6.400396,107.098022,-6.060278,81.08521957759956
Kuala Lumpur,101.382385,2.65526,101.978394,3.382493,173.37496523879858
